8571300019437079;486;79.0;4;[0, 5, 7, 11]
8571300032504340;479;79.0;4;[1, 5, 9, 12]
8571300034950287;519;79.0;4;[2, 8, 10, 11]
8571300039287947;547;78.0;3;[2, 3, 8]
8571300064016730;570;78.0;3;[0, 4, 13]
8571300089021045;466;78.0;3;[11, 12, 13]
8571300111272320;596;79.0;4;[5, 6, 7, 11]
8571300117324763;527;77.0;2;[3, 11]
8571300117507694;433;79.0;4;[0, 1, 9, 13]
8571300122410788;484;77.0;2;[0, 12]
8571300156272955;500;79.0;4;[2, 6, 9, 14]
8571300164198310;563;79.0;4;[4, 10, 11, 13]
8571300209328375;501;78.0;3;[5, 6, 7]
8571300214845624;534;78.0;3;[6, 11, 13]
8571300231717672;585;79.0;4;[1, 6, 12, 13]
8571300250877365;567;77.0;2;[5, 13]
8571300277469021;558;79.0;4;[3, 6, 9, 12]
8571300288521699;494;78.0;3;[2, 8, 11]
8571300309571125;499;78.0;3;[2, 7, 9]
8571300316974227;542;78.0;3;[0, 2, 6]
8571300333098020;445;79.0;4;[4, 5, 9, 11]
8571300358632988;578;79.0;4;[5, 7, 10, 12]
8571300359485604;577;78.0;3;[5, 12, 14]
8571300374133237;515;79.0;4;[8, 9, 10, 11]
8571300388152665;448;77.0;2;[7, 14]
8571300393212850;600;77.0;2;[4, 14]
8571300401956741;516;78.0;3;[8, 11, 13]
8571300432298913;582;78.0;3;[1, 12, 13]
8571300475811677;573;79.0;4;[2, 6, 12, 13]
8571300482041380;496;79.0;4;[2, 3, 4, 7]
8571300498253994;557;77.0;2;[8, 14]
8571300510112537;626;79.0;4;[1, 6, 7, 11]
8571300527156156;509;77.0;2;[1, 14]
8571300532129331;592;78.0;3;[3, 11, 13]
8571300552561563;593;79.0;4;[1, 6, 9, 11]
8571300565911546;615;77.0;2;[5, 7]
8571300595963966;531;77.0;2;[10, 13]
8571300601590836;460;79.0;4;[0, 5, 13, 14]
8571300602228400;564;77.0;2;[5, 8]
8571300614569277;597;78.0;3;[6, 10, 13]
8571300649891453;529;77.0;2;[0, 5]
8571300650979641;588;77.0;2;[6, 11]
8571300669426030;572;79.0;4;[2, 4, 6, 9]
8571300697935869;641;79.0;4;[2, 8, 10, 13]
8571300701183282;511;78.0;3;[0, 5, 8]
8571300716870221;607;78.0;3;[0, 3, 5]
8571300726021935;630;77.0;2;[1, 14]
8571300756943991;524;77.0;2;[9, 12]
8571300758265120;608;79.0;4;[1, 8, 10, 11]
8571300769573079;579;78.0;3;[3, 11, 13]
8571300809373037;545;78.0;3;[1, 3, 11]
8571300828684102;612;78.0;3;[8, 11, 14]
8571300841400441;478;79.0;4;[1, 3, 10, 11]
8571300841519262;544;79.0;4;[1, 4, 6, 10]
8571300880393903;587;78.0;3;[3, 11, 14]
8571300892737830;645;77.0;2;[3, 13]
8571300951606271;623;79.0;4;[0, 5, 6, 14]
8571300956388075;594;78.0;3;[3, 11, 12]
8571300986817417;561;79.0;4;[9, 10, 12, 13]
8571301010598883;560;79.0;4;[1, 9, 12, 14]
8571301031482979;627;78.0;3;[4, 9, 14]
8571301046329213;618;79.0;4;[6, 9, 10, 14]
8571301053749315;559;78.0;3;[0, 1, 12]
8571301057033158;671;79.0;4;[2, 3, 8, 13]
8571301062857788;637;79.0;4;[0, 5, 6, 13]
8571301079563985;490;77.0;2;[4, 11]
8571301120904914;638;79.0;4;[0, 1, 5, 13]
8571301188383005;675;78.0;3;[2, 3, 5]
8571301208717167;575;77.0;2;[11, 14]
8571301229591463;652;79.0;4;[2, 3, 5, 8]
8571301239455012;554;79.0;4;[2, 3, 9, 10]
8571301243513571;574;78.0;3;[2, 3, 11]
8571301247875531;633;78.0;3;[6, 9, 11]
8571301256352490;642;79.0;4;[2, 8, 12, 13]
8571301270297598;508;79.0;4;[1, 4, 13, 14]
8571301276000087;690;79.0;4;[7, 9, 13, 14]
8571301284708538;653;79.0;4;[4, 10, 13, 14]
8571301298455754;617;78.0;3;[5, 6, 7]
8571301298517415;556;79.0;4;[0, 4, 5, 11]
8571301395041729;667;79.0;4;[3, 4, 11, 13]
8571301397483826;591;79.0;4;[7, 8, 11, 13]
8571301401692656;590;79.0;4;[2, 6, 9, 14]
8571301430280065;639;77.0;2;[2, 14]
8571301430512027;657;79.0;4;[0, 9, 10, 14]
8571301433559038;701;78.0;3;[0, 2, 9]
8571301451369463;589;79.0;4;[6, 7, 10, 11]
8571301470862709;632;79.0;4;[1, 2, 6, 7]
8571301476140165;668;79.0;4;[1, 2, 4, 9]
8571301481174011;705;79.0;4;[0, 6, 7, 9]
8571301484466244;569;79.0;4;[0, 3, 4, 14]
8571301518777423;523;79.0;4;[1, 9, 12, 13]
8571301546202335;571;78.0;3;[1, 4, 11]
8571301564065510;520;78.0;3;[4, 6, 14]
8571301587942016;682;79.0;4;[3, 4, 12, 14]
8571301598218908;606;77.0;2;[6, 9]
8571301602700220;654;79.0;4;[0, 7, 10, 14]
8571301619812779;605;77.0;2;[1, 5]
8571301639823809;672;78.0;3;[11, 12, 14]
8571301646820898;716;78.0;3;[6, 10, 14]
8571301647206161;663;77.0;2;[6, 12]
8571301652092705;647;79.0;4;[1, 5, 10, 12]
8571301677399982;683;79.0;4;[2, 5, 8, 11]
8571301677999966;720;78.0;3;[0, 1, 13]
8571301703684155;584;79.0;4;[3, 8, 10, 12]
8571301765418577;697;77.0;2;[5, 7]
8571301788211626;586;78.0;3;[7, 11, 13]
8571301793508253;538;79.0;4;[0, 2, 10, 14]
8571301794072127;669;79.0;4;[0, 4, 6, 7]
8571301796921867;535;79.0;4;[7, 8, 10, 12]
8571301799302303;620;79.0;4;[0, 5, 12, 13]
8571301807420900;621;77.0;2;[5, 13]
8571301833066019;687;77.0;2;[9, 11]
8571301846428802;662;79.0;4;[0, 4, 11, 12]
8571301866414932;698;77.0;2;[3, 11]
8571301869305032;619;78.0;3;[2, 5, 12]
